sentence_id,line_no,sample_id,source,difficulty,sentence_type,difficulty_score,gold_status,selection_tags,raw_text,gold,char_len,gold_word_count,split,split_role,review_flags,notes,participant_count,sentence_avg_word_f1,sentence_avg_boundary_f1,sentence_exact_match_rate,discrimination_index
1,1,nlpcc_dev_771,NLPCC-Weibo,medium,mixed_script,54.11,confirmed,modern|microblog|sentence_level|mixed_script|digits|latin|long_sentence,伯克希尔哈撒韦公司今年一季度净收入55.9亿美元，同比增长8.2%，旗下BNSF铁路净收入同比下降25%至7.84亿美元，创两年新低；,伯克希尔 / 哈撒韦 / 公司 / 今年 / 一季度 / 净 / 收入 / 55.9亿 / 美元 / ， / 同比 / 增长 / 8.2% / ， / 旗下 / BNSF / 铁路 / 净 / 收入 / 同比 / 下降 / 25% / 至 / 7.84亿 / 美元 / ， / 创 / 两 / 年 / 新 / 低 / ；,67,32,dev,platform_eval_v2_draft,,Competition data with standard train/dev/test split.,104,0.53593,0.767459,0.0,0.419311
2,2,nlpcc_dev_1607,NLPCC-Weibo,medium,mixed_script,53.55,confirmed,modern|microblog|sentence_level|mixed_script|digits|latin|long_sentence,卡西欧计算机公司将于14日发售“EDIFICE”系列新款腕表“EQB-600D”，可通过在智能手机与平板电脑上设定的国家与地区时区进行自动对时，使用专用APP由蓝牙让指针转动。,卡西欧 / 计算机 / 公司 / 将于 / 14 / 日 / 发售 / “ / EDIFICE / ” / 系列 / 新款 / 腕表 / “ / EQB-600D / ” / ， / 可 / 通过 / 在 / 智能手机 / 与 / 平板电脑 / 上 / 设定 / 的 / 国家 / 与 / 地区 / 时区 / 进行 / 自动 / 对时 / ， / 使用 / 专用 / APP / 由 / 蓝牙 / 让 / 指针 / 转动 / 。,88,43,dev,platform_eval_v2_draft,very_long,Competition data with standard train/dev/test split.,104,0.692361,0.842554,0.009615,0.381791
3,3,nlpcc_dev_754,NLPCC-Weibo,medium,mixed_script,54.36,confirmed,modern|microblog|sentence_level|mixed_script|digits|latin|long_sentence,10年期美国国债收益率最近报1.72%，比最新发布的核心CPI升幅2.3%要低，剔除通胀因素后的10年期美国国债实际收益率已降至-0.58%的负值。,10 / 年 / 期 / 美国 / 国债 / 收益率 / 最近 / 报 / 1.72% / ， / 比 / 最 / 新 / 发布 / 的 / 核心 / CPI / 升幅 / 2.3% / 要 / 低 / ， / 剔除 / 通胀 / 因素 / 后 / 的 / 10 / 年 / 期 / 美国 / 国债 / 实际 / 收益率 / 已 / 降至 / -0.58% / 的 / 负值 / 。,74,40,dev,platform_eval_v2_draft,,Competition data with standard train/dev/test split.,104,0.654174,0.816799,0.0,0.386753
4,4,nlpcc_dev_1708,NLPCC-Weibo,medium,mixed_script,54.28,confirmed,modern|microblog|sentence_level|oov_heavy|mixed_script|latin|long_sentence,从前有两只猫头鹰，一只干了件坏事儿，然后跑了......（Imgur）,从前 / 有 / 两 / 只 / 猫头鹰 / ， / 一 / 只 / 干 / 了 / 件 / 坏事儿 / ， / 然后 / 跑 / 了 / . / . / . / . / . / . / （ / Imgur / ）,35,25,dev,platform_eval_v2_draft,,Competition data with standard train/dev/test split.,104,0.71258,0.831631,0.038462,0.409209
5,5,nlpcc_dev_1649,NLPCC-Weibo,medium,mixed_script,53.93,confirmed,modern|microblog|sentence_level|oov_heavy|mixed_script|latin|social_marker,【Science子刊惊人发现：降糖药，或加速癌症扩散】,【 / Science / 子刊 / 惊人 / 发现 / ： / 降糖药 / ， / 或 / 加速 / 癌症 / 扩散 / 】,27,13,dev,platform_eval_v2_draft,mixed_script,Competition data with standard train/dev/test split.,104,0.681861,0.796991,0.096154,0.497326
6,6,nlpcc_dev_435,NLPCC-Weibo,medium,mixed_script,53.54,confirmed,modern|microblog|sentence_level|oov_heavy|mixed_script|digits|long_sentence,上周，证券交易结算资金银证转账增加额为4557亿元，减少额为4109亿元。,上周 / ， / 证券 / 交易 / 结算 / 资金 / 银证 / 转账 / 增加额 / 为 / 4557亿 / 元 / ， / 减少额 / 为 / 4109亿 / 元 / 。,37,18,dev,platform_eval_v2_draft,,Competition data with standard train/dev/test split.,104,0.693178,0.835447,0.144231,0.57389
7,7,nlpcc_dev_1830,NLPCC-Weibo,medium,mixed_script,52.75,confirmed,modern|microblog|sentence_level|mixed_script|digits,据朝日新闻，2016年日本男女生校服价格分别上调5%-10%。,据 / 朝日 / 新闻 / ， / 2016年 / 日本 / 男女生 / 校服 / 价格 / 分别 / 上调 / 5%-10% / 。,31,13,dev,platform_eval_v2_draft,mixed_script,Competition data with standard train/dev/test split.,104,0.57006,0.739587,0.019231,0.478704
8,8,nlpcc_dev_1667,NLPCC-Weibo,medium,mixed_script,52.57,confirmed,modern|microblog|sentence_level|oov_heavy|mixed_script|digits|latin|long_sentence,速报君去铲屎官主页找了一些舞蹈作品合集，现在请大家观赏👏（图源：饲主推特ccchisa76）,速报君 / 去 / 铲屎官 / 主页 / 找 / 了 / 一些 / 舞蹈 / 作品 / 合集 / ， / 现在 / 请 / 大家 / 观赏 / 👏 / （ / 图源 / ： / 饲主 / 推特 / ccchisa76 / ）,46,23,dev,platform_eval_v2_draft,,Competition data with standard train/dev/test split.,104,0.700611,0.830095,0.048077,0.436596
9,9,nlpcc_dev_1401,NLPCC-Weibo,medium,mixed_script,52.37,confirmed,modern|microblog|sentence_level|oov_heavy|mixed_script|digits|social_marker,【库里低迷勇士惊险逆转悍将24+15灰熊失好局】,【 / 库里 / 低迷 / 勇士 / 惊险 / 逆转 / 悍将 / 24+15 / 灰熊 / 失 / 好局 / 】,24,12,dev,platform_eval_v2_draft,,Competition data with standard train/dev/test split.,104,0.459146,0.679917,0.009615,0.561675
10,10,nlpcc_dev_274,NLPCC-Weibo,medium,mixed_script,52.26,confirmed,modern|microblog|sentence_level|oov_heavy|mixed_script|digits,预计明天气温在15-20℃之间，吹3-4级东南风。,预计 / 明天 / 气温 / 在 / 15-20 / ℃ / 之间 / ， / 吹 / 3-4 / 级 / 东南风 / 。,25,13,dev,platform_eval_v2_draft,mixed_script,Competition data with standard train/dev/test split.,104,0.660919,0.793878,0.115385,0.44979
